time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
103.575	-1.100	24.000	24.000	24.000	-2.400e+01	5.683e-10	-4.223e+10	-2.400e+01	-9.501e-10	2.526e+10
104.374	-1.000	24.000	24.000	24.000	-2.400e+01	5.077e-10	-4.728e+10	-2.400e+01	-9.505e-10	2.525e+10
105.122	-0.900	24.000	24.000	24.000	-2.400e+01	5.869e-10	-4.089e+10	-2.400e+01	-9.856e-10	2.435e+10
105.891	-0.800	24.000	24.000	24.000	-2.400e+01	5.418e-10	-4.429e+10	-2.400e+01	-1.001e-09	2.398e+10
106.631	-0.700	24.000	24.000	24.000	-2.400e+01	5.167e-10	-4.645e+10	-2.400e+01	-9.745e-10	2.463e+10
107.372	-0.600	24.000	24.000	24.000	-2.400e+01	5.389e-10	-4.453e+10	-2.400e+01	-9.561e-10	2.510e+10
108.121	-0.500	24.000	24.000	24.000	-2.400e+01	5.249e-10	-4.572e+10	-2.400e+01	-9.052e-10	2.651e+10
108.892	-0.400	24.000	24.000	24.000	-2.400e+01	5.779e-10	-4.153e+10	-2.400e+01	-9.662e-10	2.484e+10
109.631	-0.300	24.000	24.000	24.000	-2.400e+01	5.877e-10	-4.084e+10	-2.400e+01	-9.547e-10	2.514e+10
110.407	-0.200	24.000	24.000	24.000	-2.400e+01	5.238e-10	-4.582e+10	-2.400e+01	-9.514e-10	2.523e+10
111.151	-0.100	24.000	24.000	24.000	-2.400e+01	6.400e-10	-3.750e+10	-2.400e+01	-9.627e-10	2.493e+10
111.911	0.000	24.000	24.000	24.000	-2.400e+01	5.751e-10	-4.173e+10	-2.400e+01	-9.350e-10	2.567e+10
112.652	0.100	24.000	24.000	24.000	-2.400e+01	5.454e-10	-4.401e+10	-2.400e+01	-9.801e-10	2.449e+10
113.401	0.200	24.000	24.000	24.000	-2.400e+01	5.234e-10	-4.585e+10	-2.400e+01	-9.748e-10	2.462e+10
114.152	0.300	24.000	24.000	24.000	-2.400e+01	5.517e-10	-4.351e+10	-2.400e+01	-9.634e-10	2.491e+10
114.921	0.400	24.000	24.000	24.000	-2.400e+01	5.278e-10	-4.547e+10	-2.400e+01	-9.560e-10	2.511e+10
115.661	0.500	24.000	24.000	24.000	-2.400e+01	5.404e-10	-4.441e+10	-2.400e+01	-1.017e-09	2.359e+10
116.411	0.600	24.000	24.000	24.000	-2.400e+01	5.588e-10	-4.295e+10	-2.400e+01	-9.736e-10	2.465e+10
117.145	0.700	24.000	24.000	24.000	-2.400e+01	5.498e-10	-4.366e+10	-2.400e+01	-9.864e-10	2.433e+10
117.911	0.800	24.000	24.000	24.000	-2.400e+01	5.702e-10	-4.209e+10	-2.400e+01	-9.406e-10	2.551e+10
118.651	0.900	24.000	24.000	24.000	-2.400e+01	5.110e-10	-4.696e+10	-2.400e+01	-9.897e-10	2.425e+10
119.545	1.000	24.000	24.000	24.000	-2.400e+01	5.664e-10	-4.237e+10	-2.400e+01	-9.916e-10	2.420e+10
120.292	1.100	24.000	24.000	24.000	-2.400e+01	5.548e-10	-4.326e+10	-2.400e+01	-9.163e-10	2.619e+10
121.042	1.200	24.000	24.000	24.000	-2.400e+01	5.484e-10	-4.377e+10	-2.400e+01	-9.628e-10	2.493e+10
121.781	1.300	24.000	24.000	24.000	-2.400e+01	5.562e-10	-4.315e+10	-2.400e+01	-9.397e-10	2.554e+10
122.522	1.400	24.000	24.000	24.000	-2.400e+01	5.064e-10	-4.739e+10	-2.400e+01	-1.009e-09	2.379e+10
123.261	1.500	24.000	24.000	24.000	-2.400e+01	5.696e-10	-4.214e+10	-2.400e+01	-9.634e-10	2.491e+10
124.003	1.600	24.000	24.000	24.000	-2.400e+01	5.140e-10	-4.669e+10	-2.400e+01	-9.986e-10	2.403e+10
124.745	1.700	24.000	24.000	24.000	-2.400e+01	5.249e-10	-4.572e+10	-2.400e+01	-9.930e-10	2.417e+10
125.481	1.800	24.000	24.000	24.000	-2.400e+01	5.487e-10	-4.374e+10	-2.400e+01	-9.781e-10	2.454e+10
126.223	1.900	24.000	24.000	24.000	-2.400e+01	5.587e-10	-4.296e+10	-2.400e+01	-9.341e-10	2.569e+10
126.953	2.000	24.000	24.000	24.000	-2.400e+01	5.106e-10	-4.701e+10	-2.400e+01	-9.831e-10	2.441e+10
127.672	2.100	24.000	24.000	24.000	-2.400e+01	5.453e-10	-4.401e+10	-2.400e+01	-9.956e-10	2.411e+10
128.412	2.200	24.000	24.000	24.000	-2.400e+01	5.180e-10	-4.633e+10	-2.400e+01	-9.659e-10	2.485e+10
129.152	2.300	24.000	24.000	24.000	-2.400e+01	5.485e-10	-4.375e+10	-2.400e+01	-9.730e-10	2.467e+10
129.911	2.400	24.000	24.000	24.000	-2.400e+01	5.575e-10	-4.305e+10	-2.400e+01	-9.906e-10	2.423e+10
130.651	2.500	24.000	24.000	24.000	-2.400e+01	5.214e-10	-4.603e+10	-2.400e+01	-9.756e-10	2.460e+10
131.402	2.600	24.000	24.000	24.000	-2.400e+01	5.585e-10	-4.297e+10	-2.400e+01	-9.657e-10	2.485e+10
132.141	2.700	24.000	24.000	24.000	-2.400e+01	5.722e-10	-4.194e+10	-2.400e+01	-1.022e-09	2.348e+10
132.901	2.800	24.000	24.000	24.000	-2.400e+01	5.598e-10	-4.287e+10	-2.400e+01	-1.019e-09	2.356e+10
133.623	2.900	24.000	24.000	24.000	-2.400e+01	5.294e-10	-4.533e+10	-2.400e+01	-9.897e-10	2.425e+10
134.362	3.000	24.000	24.000	24.000	-2.400e+01	5.311e-10	-4.519e+10	-2.400e+01	-9.774e-10	2.455e+10
135.102	3.100	24.000	24.000	24.000	-2.400e+01	5.677e-10	-4.227e+10	-2.400e+01	-9.406e-10	2.552e+10
135.854	3.200	24.000	24.000	24.000	-2.400e+01	5.470e-10	-4.388e+10	-2.400e+01	-9.451e-10	2.539e+10
136.595	3.300	24.000	24.000	24.000	-2.400e+01	5.485e-10	-4.375e+10	-2.400e+01	-9.880e-10	2.429e+10
137.342	3.400	24.000	24.000	24.000	-2.400e+01	5.738e-10	-4.183e+10	-2.400e+01	-1.010e-09	2.376e+10
138.075	3.500	24.000	24.000	24.000	-2.400e+01	5.582e-10	-4.300e+10	-2.400e+01	-1.018e-09	2.357e+10
138.822	3.600	24.000	24.000	24.000	-2.400e+01	5.491e-10	-4.371e+10	-2.400e+01	-9.965e-10	2.408e+10
139.562	3.700	24.000	24.000	24.000	-2.400e+01	5.778e-10	-4.154e+10	-2.400e+01	-9.513e-10	2.523e+10
